Product,SKU,URL: ,FINAL
CCC,755575,https://ogee.com/products/sculpted-face-stick-bundle-3pc,"""Lightweight, easy to blend, and give me that perfect natural glow."" - Jade G."
UCC,755794,https://ogee.com/products/ultimate-color-collection,"""The texture is fabulous, the results are glowy and natural and best of all, everything is versatile. Highly reccomend!"" - Kelly J."
SSC,755795,https://ogee.com/products/signature-skincare-collection,"""Left my skin feeling fresh, super moisturized, and dewy! Extremely gentle and soft in scent."" - Rhiannon K."
Dew Kit,755573,https://ogee.com/products/dew-kit,"""Makes my skin feel so nourished while adding just the right amount of glow. I feel smooth and sunkissed"" - Emily P. "
Dynamic Duo,755503,https://ogee.com/products/dynamic-duo,"""Light, airy, and moisturizing. Feels like a little bit of heaven."" - Felice S"
Nourishing Trio,755655,https://ogee.com/products/nourishing-trio,"""Absorbs right into my skin and leaves it nourished and moisturized all day long."" - Vita K."
Cleanse & Treat,755505,https://ogee.com/products/cleanse-treat,"""Leaves your skin looking clean & clear - it feels fantastic! Clean, hydrated, beautiful! Then add the anti-aging serum - wow!"" - Kelly F."
Glow Trio,755730,https://ogee.com/products/glow-trio,"""The best skincare regimen I have ever used! It gently soothes and moisturizes my skin and prepares it for makeup in a gentle and calming way."" - Anita W."
Sunkissed Set,755750,https://ogee.com/products/sunkissed-set,"""Leaves my skin feeling dewy and fresh. I love the cheek color that gives me a subtle pink glow."" - Kay C."
VBM,755613,https://ogee.com/products/velvet-botanical-moisturizer,“Keeps my skin hydrated but is also lightweight. Feels like silk and is the perfect base for day and night. Also smells amazing!” - Mary S.
Jojoba Glow Face Oil,755411,https://ogee.com/products/organic-anti-aging-moisturizing-face-oil,"""My skin is perfectly moisturized. Not greasy or shiny - just soft, healthy, and balanced."" - Lauren B."
Cleansing Cloths,755718,https://ogee.com/products/gentle-glow-cleansing-cloths,“I love the feel and smell! The material is soft and they make my skin feel clean and refreshed. - Lindsey H
Clear Lip Oil,755432,https://ogee.com/products/organic-moisturizing-lip-balm-with-jojoba-oil,“I use it first thing in the morning and during the day as needed. It keeps my lips soft and kissable” - Katherine B.
Tinted Lip Oil (all shade variants) ,755454,https://ogee.com/products/camellia,"""Glides on beatifully, feels silky and lasts well. Lovely color!"" - Roslyn F."
Sculpted Face Stick (all shade variants) ,755498,https://ogee.com/products/sculpted-face-stick,"""Beautiful color, goes on smoothly and looks so natural."" - Michele"
Cleansing Oil,755388,https://ogee.com/products/liquid-gold-cleansing-oil,"""It not only melts off my makeup but leaves my skin so soft and moisturized"" - Carrie C."
Face Mist,755484,https://ogee.com/products/luminous-botanical-face-mist,"""My skin feels soft, dewy, and refreshed after using this morning and night"" - Jody K."
Tinted Lip Set (4pc),755470,https://ogee.com/products/daring-darling-gift-set-of-4-tinted-lip-oils,"""The colors are beautiful, very long-lasting and make my lips feel soft and smooth"" - Joanne K."
Seeds of Youth Serum,755410,https://ogee.com/products/organic-anti-aging-hydrating-serum-with-jojoba-oil,"""Love this serum! Smells amazing & makes my skin soft & beautiful!"" - Kara K."