sku,name,description
classic-stripe-hooded-poncho-1,Lauren,"Incredibly comfortable, absorbent and gets softer after washing."
swirl-turtle-towel,Christine,Beautiful print and the sand does not stick to it!
spinner-discovery,Jessica,"Perfect size, so soft, and the design is amazing!"
whale-shark-towel,Tash,"Great for travel! Lightweight, repels sand, and dries quickly."
outer-rim,Chaerli,Made with a quality you can't find anywhere else.
solar-moon,Carole,Almost too pretty to use in the sand but nice to know the sand will slide right off!
typus-whale-shark,Maira,"So practical and elegant at the same time, Iâ€™m using it everywhere for my kids."
whale-shark-xl-towel-turquoise,Paulette,Great size. It really does repel the sand.
boho-gypsy-xl-towel,Pwill,"Just the right color, style, size and pattern."
pearl-bundle-assorted-4-pack,Ursula,"Super absorbent, dries fast, and the colors are cheery and vivid."
santa-fe-green-towel,Julia,This towel is AMAZING! Easily shakes off and is amazing at wiping stubborn sand off of me!
baja-mint-xl-beach-blanket,Cindy,"Not only is this towel beautiful, it's functional too! "
crush-turtle-xl-towel,Tatiana,Dries quickly and no sand sticks to the fabric! 
8-mystery-beach-bundle-regular-1,E.M.,The mystery bundle pricing cannot be beat! Great way to purchase for gifting.
new-sun-bundle-1,Elin,"They are beautiful, soft, elegant and in subtle colors."
twilight-whale,Michelle,It's good for the beach but I get so much more use out of it.
mandala-sea-turtle-green-towel,Carrie S,The towel is beautiful! It is thin so it folds nicely.
cirrina-octopus,Hannah,"So soft, dries quickly and the sand just falls right off."
olive-sea-turtle,Debbie,I love how big this towel is!
sunset-swim,Dawn,"The design is even more beautiful in person, and it's so soft."
whale-fin,Dana,Excellent blanket. Perfect size for two adults. Sand shakes right off.
mystical-whale,Michelle A.,Sand Cloud towels belong in an art exhibit. The designs are genius.
sc-boho-shark,Timothy P.,This towel is perfect for my kayak and my truck after a trip.
prism-turtles-towel,Ryan I.,The beach towels completely live up to the hype! We don't pack a suitcase without bringing them along.
bruno,Barb,I love the design. Towels are so soft and dry quickly.
kemp-turtle,Carla,"Lightweight, absorbent, fast-drying, wicks sand and can be used as a blanket indoors. Great quality and beautiful design!"
turtle-grass,Diana,"Very soft, beautiful colors and holds up well. Great travel blanket for the beach or desert!"
whale-shark-bag-towel-1,Cindy,A wonderful towel with the convenience of a backpack.
mickey-minnie-leaves,Dawn,Disney and Sand Cloud together? A home run!!!
mickey-boho-xl,Marion,Great size and has many uses beyond a beach towel.
mickey-minnie-date,Jan,Sand Cloud + Disney = Perfect!
mickey-m,Michelle,Super cute and light weight!
mickey-pinwheel,Katie,Love the subtle Disney print!
mickey-polka-dot,Heather,Absolutely love the design and the material!
wanderlust-tie-dye,Sarah,I love the size and quality! We take our new towel everywhere and it's perfect!
checkmate,Lyndsey,BEST BEACH TOWEL EVER! Literally so soft and gets softer with every wash!
turks-party-blanket,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
illusions-party-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
checkmate-party-blanket,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
paradise-party-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
carry-strap,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
lima-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
cruz-blanket,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
la-paz-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
solana-blanket,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
malibu-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
monterey-blanket,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
coronado-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
las-cruces-blanket,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
arizona-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
utah-blanket,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
new-mexico-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
nevada-blanket,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
canyon-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
taurus,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
aries,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."
lambda,Laurie ," This blanket accommodates so many people, dries quickly, and the sand shakes from it so easily!"
latilla-party-blanket,Crystal,"Blanket is exactly as described - soft and light, really big, extra comfortable with a beautiful design."