Name,Creative Type,Assigned To,Created by,Created time,Interview Date,Link to Asset,Projected Done Date,Status,Testimonials,Vertical,Watching & Waiting,Watching and Waiting
Jaded London,Copy Needed,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Fashion and Apparel,,
Woolman,Copy Needed,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM","February 13, 2023 9:30 AM (EST)",,"February 24, 2023",Scheduled,,Marketing,,
Cariuma,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Footwear,,
AIMN,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Fashion and Apparel,,
Chris Mercer and team at Measurement Marketing,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Training,,
Thrive Causemetics,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Beauty and Personal Care,,
BRUNT Workwear,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Footwear,,
Vuori,,"Heather Osteen, Brad Redding",Andrew Marshall,"February 7, 2023 11:41 AM",,,,Candidate,,Fashion and Apparel,,
Bluemercury,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Candidate,,Beauty and Personal Care,,
Butlers,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Household Goods and Furniture,,
BK Beauty,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Beauty and Personal Care,,
Glossier,Copy Needed,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Beauty and Personal Care,,
Zbiotics,Copy Needed,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Health and Wellness,,
Kosas Cosmetics,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Beauty and Personal Care,,
RoadiD,Copy Needed,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Travel,,
ILIA Beauty,Copy Needed,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Watching & Waiting,,Beauty and Personal Care,,
Books2Door,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Watching & Waiting,,Household Goods and Furniture,,
HOMAGE,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Fashion and Apparel,,
ThirdLove,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Watching & Waiting,,Fashion and Apparel,,
ALOHA Collection,,,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Watching & Waiting,,Fashion and Apparel,,
Altuzarra,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Watching & Waiting,,Fashion and Apparel,,
Ancient Nutrition,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Health and Wellness,,
Fair Harbor,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Fashion and Apparel,,
Birdies,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Footwear,,
For Love and Lemons,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Fashion and Apparel,,
Mockingbird,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Reached Out To Schedule,,Baby,,
Slugg / The Balcony Garden,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM","February 8, 2023 7:00 AM (EST)",,,Scheduled,,Arts and Crafts,,
Natura Labs,,"Heather Osteen, Andrea Moe",Andrew Marshall,"February 7, 2023 11:41 AM",,,,Watching & Waiting,,Marketing,,
Sola Wood Flowers,"Copy Needed, Images Needed",Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM","February 3, 2023 12:00 PM (EST)",,,Scheduled,,Gifts,,
UAG/Slicedbread,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,https://drive.google.com/drive/folders/1_DqATnbon0uD-a7QZCH-ZgFccK3_zpjf?usp=share_link,,In Review,,Household Goods and Furniture,,
VUORI,,,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Testimonials,,,,
Jaded London,,,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Testimonials,,,,
Cariuma,,,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Testimonials,,,,
AIMN,,,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Testimonials,,,,
Brevite,,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Writing In Progress,,,,
ILIA Beauty,Copy Needed,Heather Osteen,Andrew Marshall,"February 7, 2023 11:41 AM",,,,Watching & Waiting,,Beauty and Personal Care,,